PGM_SYS_ID,REGISTRY_ID,FACILITY_NAME,CITY,COUNTY_NAME,STATE,ZIP_CODE,EPA_REGION,AIR_POLLUTANT_CLASS_CODE,AIR_POLLUTANT_CLASS_DESC,AIR_OPERATING_STATUS_CODE,AIR_OPERATING_STATUS_DESC,CURRENT_HPV
GA0000001312100638,110001422201,PPG INDUSTRIES INC PLT 1803,ATLANTA,FULTON,GA,30354,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001321500024,110000361466,HPPE,6906 DIXIE STREET,COLUMBUS,GA,31907,0,,MIN,Minor Emissions,Operating,Operating
GA0000001321500171,110001752327,WOODCRAFT BY FRANK MA,COLUMBUS,MUSCOGEE,GA,31907,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001303900024,110038672031,APAC-GEORGIA INC,KINGSLAND,CAMDEN,GA,31458,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001327100008,110038675760,JONES M C LUMBER CO,MILAN,TELFAIR,GA,31060,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001321700073,110000833091,KELLY PRODUCTS,14481 LOCHRIDGE BLVD,COVINGTON,GA,30014,0,,MIN,Minor Emissions,Operating,Operating
GA0000001308900300,110001752522,EGLESTON CHILDRENS HOSPITAL,ATLANTA,DEKALB,GA,303221062,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001308900266,110001420347,DUPLEX PRODUCTS INC,TUCKER,DEKALB,GA,30084,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001308900292,110001426412,LABEL AMERICA INC,STONE MOUNTAIN,DEKALB,GA,30086,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001331900016,110007088855,FOUNTAIN PALLET CO INC,MCINTYRE,WILKINSON,GA,31054,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001312100397,110001421961,RAY-O-LITE SOUTHEAST,696 GREENWOOD AVE,ATLANTA,GA,303063734,0,,MIN,Minor Emissions,CLS,Permanently Closed
040000001312140014,110001417191,FIRESTONE TIRE & SERVICE CENTERS,UNION CITY,FULTON,GA,30291,4,NAP,Not applicable,OPR,Operating,No Viol
GA0000001308900127,110001965286,CITGO PETROLEUM CORPORATION  DORAVILLE TERMINAL,DORAVILLE,DEKALB,GA,30362,4,MAJ,Major Emissions,OPR,Operating,No Viol
GA0000001321500139,110022447841,ARGOS READY MIX LLC (COLUMBUS),COLUMBUS,MUSCOGEE,GA,31907,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001305900042,110000358586,PILGRIM'S PRIDE CORPORATION,ATHENS,CLARKE,GA,306012029,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001306300066,110000611758,VEOLIA ES TECHNICAL SOLUTIONS LLC,MORROW,CLAYTON,GA,30260,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA00000013059DC033,110005675251,NEW WAY CLEANERS,ATHENS,CLARKE,GA,0,4,NAP,Not applicable,OPR,Operating,No Viol
GA0000001325500030,110001423905,HOLAN MANUFACTURING INC PLT 1,GRIFFIN,SPALDING,GA,30223,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001312700021,110001389104,EDGY PLANING MILL INC,BRUNSWICK,GLYNN,GA,31520,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001327500013,110007088203,SOUTH GEORGIA PEANUT,BOSTON,THOMAS,GA,31626,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001312900044,110064338444,MARGLEN,CALHOUN,GORDON,GA,30701,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001331300064,110001760167,FRANKLIN INDUSTRIAL MINERALS,DALTON,WHITFIELD,GA,30720,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001307500018,110007085171,THE COTTON GIN,KINARD BRIDGE RD.,LENOX,GA,31637,0,,SMI,Synthetic Minor Emissions,Operating,Operating
GA0000001306700161,110001970608,WALKER & WALKER CO,ATLANTA,COBB,GA,303182803,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001316100011,110005667705,PROPEX OPERATING COMPANY,95 EAST JEFFERSON STREET,HAZLEHURST,GA,31539,0,,MIN,Minor Emissions,Operating,Operating
GA0000001324700022,110002474402,LITHONIA LIGHTING CO,CONYERS,ROCKDALE,GA,30207,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001329900045,110000360564,CAROLINA SKIFF,3231 FULFORD ROAD,WAYCROSS,GA,31503,0,,MAJ,Major Emissions,Operating,Operating
040000001324540934,110005699752,PRECISION TUNE AUTO CARE,AUGUSTA,RICHMOND,GA,0,4,NAP,Not applicable,OPR,Operating,No Viol
GA0000001377700072,110001962617,D.R. PHILLIPS CONTRACTORS,BUFORD,GWINNETT,GA,30518,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001305500002,110007084715,MOHAWK INDUSTRIES INC, LYERLY,CHATTOOGA,GA,30730,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001312100779,110000899145,SUN CHEMICAL CORP.,ATLANTA,FULTON,GA,30318,4,MAJ,Major Emissions,OPR,Operating,Viol
GA0000001330500013,110006524662,WALKER ENTERPRISES,JESUP,WAYNE,GA,31545,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001306700141,110001766492,COLTER GRAPHICS CORP,SMYRNA,COBB,GA,30082,4,UNK,Emissions classification unknown,CLS,Permanently Closed,No Viol
040000001322540306,110007482438,BRANNEN FORD,BYRON,PEACH,GA,31008,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001313900141,110054887413,BITZER USA,4080 ENTERPRISE WAY,FLOWERY BRANCH,GA,30542,0,,SMI,Synthetic Minor Emissions,Operating,Operating
GA0000001325700056,110054884942,TEAM METAL FINISHING,TOCCOA,STEPHENS,GA,30577,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001306900052,110027225312,CALLEJAS FIBERGLASS MANUFACTURING,DOUGLAS,COFFEE,GA,31533,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001312100922,110041624613,AIRGAS SOUTH,ATLANTA,FULTON,GA,30336,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001300100031,110016725784,HARRIS WASTE MANAGEMENT GROUP INC.,BAXLEY,APPLING,GA,31513,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001306700193,110018852963,THOMAS CONCRETE OF GEORGIA,3000 NEW MCEVER RD,ACWORTH,GA,30101,0,,SMI,Synthetic Minor Emissions,Operating,Operating
GA0000001377700112,110031073978,MCCARTHY IMPROVEMENT PORTABLE BATCH CONCRETE PLANT NO. 1,AUGUSTA,RICHMOND,GA,30906,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001306300121,110030489781,REG ATLANTA,4334 TANNERS CHURCH ROAD,ELLENWOOD,GA,30294,0,,SMI,Synthetic Minor Emissions,Operating,Operating
GA0000001307900005,110007046188,SPILLER BROS LUMBER,ROBERTA,CRAWFORD,GA,31078,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001305900007,110020043415,BLUE RIDGE PAPER PRODUCTS,600 DAIRY PAK ROAD,ATHENS,GA,30607,0,,SMI,Synthetic Minor Emissions,Operating,Operating
GA0000001312100011,110038644517,SIEMON MADISON MANUFACTURING CO,ATLANTA,FULTON,GA,30350,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001312100745,110038666235,BELLSOUTH TELECOMMUNI,CHAMBLEE,FULTON,GA,30341,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001313900081,110038606069,HAROD'S MARINE SERVICE,GAINESVILLE,HALL,GA,30504,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001321500053,110038672656,CONCRETE CO,COLUMBUS,MUSCOGEE,GA,31901,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001306300035,110000587909,KAWNEER COMPANY,7468 HYW 54,JONESBORO,GA,30236,0,,MAJ,Major Emissions,CLS,Permanently Closed
GA0000001321700003,110009356115,CCX HANOVER WIRE CLOT,COVINGTON,NEWTON,GA,30209,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001318100001,110038673673,PASCO MINING INC,LINCOLNTON,LINCOLN,GA,30817,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001319900003,110038666510,LUTHERSVILLE GIN & WA,LUTHERSVILLE,MERIWETHER,GA,30251,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001308900043,110038642118,COLONIAL BAKING CO OF,ATLANTA,DEKALB,GA,30316,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001330300044,110038672433,SHEPHERD CONSTR.,SANDERSVILLE,WASHINGTON,GA,31082,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001325500051,110009359498,AEROPAINT 2,GRIFFIN,SPALDING,GA,30223,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001312100903,110043683029,SERVICE COLLISION CENTER (GEORGIA),3030 SATELLITE BLVD.,DULUTH,GA,30096,0,,MIN,Minor Emissions,Operating,Operating
GA0000001304500080,110000356276,SOUTHWIRE COMPANY - CARROLLTON NORTH CAMPUS,CARROLLTON,CARROLL,GA,30117,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001312100035,110063618973,LESLIE LOCKE BUILDING,ATLANTA,FULTON,GA,303362615,4,,,CLS,Permanently Closed,No Viol
GA0000001325700058,110064735648,NIFCO KTW - TOCCOA,TOCCOA,STEPHENS,GA,30577,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001312100942,110069993369,WEPACKIT,6140-B DUQUESNE DR SW,ATLANTA,GA,30336,0,,SMI,Synthetic Minor Emissions,Operating,Operating
GA0000001330100005,110009357962,MARTIN MARIETTA AGGREGATES,WARRENTON,WARREN,GA,30828,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001377700150,110055610744,CRUSH-IT,I-75 AND MILE MARKER 110,VIENNA,GA,31092,0,,SMI,Synthetic Minor Emissions,CLS,Permanently Closed
GA0000001322500004,110038643135,HAPPYVALE FLOUR MILL,FORT VALLEY,PEACH,GA,31030,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001310500046,110038646007,TORRINGTON COMPANY,ELBERTON,ELBERT,GA,30635,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001303900023,110038672022,APAC-GEORGIA INC,KINGSLAND,CAMDEN,GA,31458,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001312100636,110001422185,SOUTHLAND CASKET CO I,ATLANTA,FULTON,GA,303154122,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001313900069,110038646757,MATTHEWS C W CONTRACTING CO INC PLT 51,GAINESVILLE,HALL,GA,30507,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001309700081,110014375318,AFFORDABLE BODY SHOP,DOUGLASVILLE,DOUGLAS,GA,30134,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001329500002,110038674823,BARWICK E T IND INC A,KENSINGTON,WALKER,GA,30727,4,MAJ,Major Emissions,CLS,Permanently Closed,No Viol
GA0000001305100196,110001764261,LAYDEN CUSTOM CABINET,SAVANNAH,CHATHAM,GA,31405,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001331300136,110001427171,SHAW INDUSTRIES GROUP INC PLANT 6,DALTON,WHITFIELD,GA,30721,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001308900160,110001389275,INSECT-O-CUTOR INC,STONE MOUNTAIN,DEKALB,GA,30083,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001377700175,110070248579,STATEWIDE PORTABLE 2008 TEREX JAW CRUSHER MODEL PREMIERTRAK 400,GEORGIA,UNDETERMINED,GA,0,4,UNK,Emissions classification unknown,OPR,Operating,No Viol
GA0000001322500028,110070235837,SOUTHERN FLAVOR FARMS,FORT VALLEY,PEACH,GA,31030,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001312100227,110001421809,SQUARE D CO,ATLANTA,FULTON,GA,303184159,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001332100022,110040483900,GROWERS PEANUT CO,SYLVESTER,WORTH,GA,31781,4,MIN,Minor Emissions,CNS,Under Construction,No Viol
GA0000001302100181,110040492320,MP & A,235 NORTH STREET,MACON,GA,31206,0,,MIN,Minor Emissions,CLS,Permanently Closed
GA0000001328500073,110005665752,MILLIKEN & CO DUNCAN,LAGRANGE,TROUP,GA,30240,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001323500001,110007253257,CENTRAL GEORGIA CO-OP,HAWKINSVILLE,PULASKI,GA,31036,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001309700019,110001960511,SEMINOLE FOUNDRY,LITHIA SPRINGS,DOUGLAS,GA,30057,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001318500017,110007249192,GRIFFIN J L LUMBER,VALDOSTA,LOWNDES,GA,31601,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001306700025,110007046543,SULZER ESCHER WYSE,1831 VETERANS MEMORIAL HWY,AUSTELL,GA,30168,0,,SMI,Synthetic Minor Emissions,CLS,Permanently Closed
GA0000001327700004,110001423816,TRUAX VENEER CO,LYONS,TIFT,GA,30436,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001328500070,110000357177,ADVICS MANUFACTURING GEORGIA,1621 LUKKEN INDUSTRIAL DR W,LAGRANGE,GA,30240,0,,SMI,Synthetic Minor Emissions,Operating,Operating
GA0000001313700008,110000358327,SCOVILL APPAREL FASTENERS INC,CLARKSVILLE,HABERSHAM,GA,30523,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001331300119,110001752130,CABARRUS PLASTICS,1030 VISTA DRIVE,DALTON,GA,30720,0,,SMI,Synthetic Minor Emissions,Operating,Operating
GA0000001305100084,110001419224,DEPUE-WILBERT VAULT CO,SAVANNAH,CHATHAM,GA,31402,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001327500061,110010421409,SOUTHERN NATURAL GAS COMPANY,10104 TALLOKAS RD,PAVO,GA,31778,0,,MIN,Minor Emissions,Operating,Operating
GA0000001312100774,110046592120,ALCON LABORATORIES,11460 JOHNS CREEK PKWY,JOHNS CREEK,GA,30097,0,,SMI,Synthetic Minor Emissions,Operating,Operating
040000001308940001,110001417173,PRECISION TUNE,STONE MOUNTAIN,DEKALB,GA,30083,4,NAP,Not applicable,OPR,Operating,No Viol
GA0000001317500060,110064339149,LAURENS COUNTY OLD MACON RD. LANDFILL,DUBLIN,LAURENS,GA,31040,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001321100020,110006836175,PITTMAN CONSTRUCTION CO.,BUCKHEAD,MORGAN,GA,30625,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
040000001305140328,110001427420,DIXIE MOTORS,2013 E. VICTORY DRIVE,SAVANNAH,GA,31404,0,POF,MIN,Minor Emissions,Operating,Operating
GA0000001332100025,110001427180,BAPTIST HOSPITAL WORT,SYLVESTER,WORTH,GA,31791,4,MIN,Minor Emissions,OPR,Operating,No Viol
040000001302140990,110007090780,SATURN OF MACON,MACON,BIBB,GA,0,4,NAP,Not applicable,OPR,Operating,No Viol
GA0000001377700057,110010339641,ATLANTA CONCRETE RECYCLING,GEORGIA,UNDETERMINED,GA,0,4,MIN,Minor Emissions,OPR,Operating,No Viol
040000001305140335,110001427251,FIRESTONE,SAVANNAH,CHATHAM,GA,31404,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001331300144,110002352016,DALTON UTILITIES-V.D.,DALTON,WHITFIELD,GA,30722,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001318700013,110018858217,THOMAS CONCRETE OF GEORGIA,236 AGGREGATE LN,N/A,GA,30533,0,,SMI,Synthetic Minor Emissions,Operating,Operating
GA0000001329900049,110000360528,GENERAL MANUFACTURED HOUSING,WAYCROSS,WARE,GA,31502,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001313900122,110037589017,VULCAN CONSTRUCTION MATERIALS,3310 COOK DRIVE,GAINESVILLE,GA,30507,0,,SMI,Synthetic Minor Emissions,Operating,Operating
GA0000001302100211,110046592335,KUMHO TIRE GEORGIA,3051 KUMHO PARKWAY,MACON,GA,31216,0,,SMI,Synthetic Minor Emissions,Operating,Operating
GA0000001312100859,110005700438,MARTA - PERRY BOULEVARD CNG STATION,ATLANTA,FULTON,GA,30318,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
0400000013015EPA01,110030489790,HONDA CARLAND,CARTERSVILLE,BARTOW,GA,30121,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001305900009,110038657361,DIXIE-CAP RUBBER CO,ATHENS,CLARKE,GA,306011840,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001323300015,110001759963,GOODYEAR TIRE & RUBBE,CEDARTOWN,POLK,GA,30125,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001305100016,110038656344,CERTAINTEED CORP,SAVANNAH,CHATHAM,GA,31401,4,MAJ,Major Emissions,CLS,Permanently Closed,No Viol
GA0000001308900147,110013427960,APAC GEORGIA,6840 MARBAT RD,LITHONIA,GA,30058,0,,SMI,Synthetic Minor Emissions,CLS,Permanently Closed
GA0000001312700090,110043975981,KIRBY'S PAINT & BODY,ST. SIMONS,GLYNN,GA,31522,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001324500014,110062740930,BUMBLE BEE FOODS LLC,AUGUSTA,RICHMOND,GA,309013929,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001329700053,110043974713,TRUE COLORS COLLISION,LOGANVILLE,WALTON,GA,30052,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001306300024,110000859492,FULLER,4630 LAKE MIRROR PLACE,FOREST PARK,GA,30050,0,,SMI,Synthetic Minor Emissions,CLS,Permanently Closed
GA0000001327100012,110010384164,R & R CONSTRUCTION CO,MCRAE,TELFAIR,GA,31037,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001302100171,110013947587,MICRO-MED OF CENTRAL,MACON,BIBB,GA,31206,4,MAJ,Major Emissions,CLS,Permanently Closed,No Viol
GA0000001324500192,110000359692,PQ CORPORATION - SODIUM SILICATE PLANT,AUGUSTA,RICHMOND,GA,30906,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001302100160,110001326672,SANCO PRODUCTS CO DIV,MACON,BIBB,GA,31206,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001313900107,110000358238,MAREL STORK POULTRY PROCESSING INC,GAINESVILLE,HALL,GA,30501,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001312100630,110001422158,PERRY COMMUNICATIONS,ATLANTA,FULTON,GA,303441830,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001313500260,110024415596,GWINNETT MEDICAL CENTER DULUTH,DULUTH,GWINNETT,GA,30096,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001313500070,110038645721,APAC GEORGIA INC,NORCROSS,GWINNETT,GA,30071,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001311500012,110001421275,SHERMAN CONCRETE PIPE,ROME,FLOYD,GA,30161,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001324500043,110001424478,AUGUSTA FOUNDRY,AUGUSTA,RICHMOND,GA,309013416,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001331700029,110005680012,BERRY GLOBAL CORPORATION,WASHINGTON,WILKES,GA,30673,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001331300116,110044310144,HARCROS CHEMICALS,3452 CORPORATE DR,DALTON,GA,30720,0,,SMI,Synthetic Minor Emissions,Operating,Operating
GA0000001331300081,110041083038,SHAW INDUSTRIES GROUP,501 EAST FRANKLIN STREET,DALTON,GA,307222128,0,,MIN,Minor Emissions,Operating,Operating
GA0000001312100010,110000357827,STERILIZATION SERVICES OF GEORGIA,ATLANTA,FULTON,GA,30336,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
